order_id,order_amount,order_date,customer_email
order_00000,3400.45,2026-08-19,karan.kapoor66@example.com
order_00001,5908.8,2026-08-15,sneha.reddy553@example.com
order_00002,13800.85,2026-08-20,ananya.singh409@example.com
order_00003,7247.26,2026-08-26,priya.rao828@example.com
order_00004,1738.26,2026-08-21,aditya.sharma766@example.com
order_00005,1139.33,2026-08-19,karan.reddy688@example.com
order_00006,7020.2,2026-08-25,aditya.reddy279@example.com
order_00007,9190.0,2026-08-23,rohan.sharma316@example.com
order_00008,13514.03,2026-08-26,aarav.rao228@example.com
order_00009,12302.82,2026-08-15,sneha.nair621@example.com
order_00010,1998.99,2026-08-19,karan.reddy631@example.com
order_00011,4722.96,2026-08-18,ananya.rao626@example.com
order_00012,6993.62,2026-08-21,neha.mehta437@example.com
order_00013,6853.93,2026-08-06,sneha.mehta478@example.com
order_00014,1214.31,2026-08-14,karan.reddy861@example.com
order_00015,13816.26,2026-08-20,priya.sharma773@example.com
order_00016,14258.29,2026-08-07,ananya.patel714@example.com
order_00017,12798.31,2026-08-20,karan.kapoor275@example.com
order_00018,3907.78,2026-08-03,aditya.iyer708@example.com
order_00019,9793.77,2026-08-16,isha.singh742@example.com
order_00020,14655.12,2026-08-17,priya.patel411@example.com
order_00021,1388.01,2026-08-21,rohan.mehta77@example.com
order_00022,338.33,2026-08-15,isha.singh717@example.com
order_00023,14156.34,2026-08-17,isha.patel482@example.com
order_00024,5198.63,2026-08-22,isha.sharma209@example.com
order_00025,8372.53,2026-08-10,isha.mehta149@example.com
order_00026,3100.97,2026-08-20,ananya.iyer586@example.com
order_00027,3732.37,2026-08-25,isha.singh347@example.com
order_00028,10481.76,2026-08-21,sneha.sharma301@example.com
order_00029,14817.48,2026-08-10,vikram.reddy644@example.com
order_00030,13579.03,2026-08-21,ananya.nair991@example.com
order_00031,5675.89,2026-08-26,vikram.rao119@example.com
order_00032,3750.56,2026-08-18,sneha.sharma408@example.com
order_00033,3089.19,2026-08-04,vikram.reddy113@example.com
order_00034,2236.51,2026-08-12,karan.patel503@example.com
order_00035,1379.31,2026-08-03,priya.gupta438@example.com
order_00036,10076.09,2026-08-12,isha.iyer868@example.com
order_00037,5445.68,2026-08-18,aarav.patel765@example.com
order_00038,3461.45,2026-08-14,neha.rao540@example.com
order_00039,6609.48,2026-08-13,priya.mehta523@example.com
order_00040,13616.06,2026-08-12,vikram.singh606@example.com
order_00041,5472.55,2026-08-03,priya.mehta662@example.com
order_00042,874.39,2026-08-23,neha.patel318@example.com
order_00043,5836.19,2026-08-26,sneha.kapoor135@example.com
order_00044,5836.78,2026-08-06,aditya.nair990@example.com
order_00045,12307.3,2026-08-26,sneha.iyer396@example.com
order_00046,5810.22,2026-08-01,vikram.patel49@example.com
order_00047,6470.44,2026-08-26,aarav.nair383@example.com
order_00048,11284.55,2026-08-12,aarav.gupta956@example.com
order_00049,7875.14,2026-08-18,karan.kapoor843@example.com
order_00050,8317.47,2026-08-11,priya.iyer798@example.com
order_00051,5622.61,2026-08-19,rohan.patel463@example.com
order_00052,13509.58,2026-08-15,rohan.kapoor906@example.com
order_00053,1265.5,2026-08-13,rohan.gupta958@example.com
order_00054,5385.54,2026-08-17,karan.kapoor655@example.com
order_00055,7620.16,2026-08-21,ananya.rao126@example.com
order_00056,6908.06,2026-08-05,neha.gupta50@example.com
order_00057,4434.94,2026-08-20,priya.nair383@example.com
order_00058,8499.13,2026-08-12,sneha.gupta690@example.com
order_00059,14703.5,2026-08-19,karan.reddy423@example.com
order_00060,6331.55,2026-08-25,vikram.iyer707@example.com
order_00061,4959.5,2026-08-12,neha.kapoor246@example.com
order_00062,1045.25,2026-08-17,karan.reddy957@example.com
order_00063,14957.43,2026-08-13,sneha.singh582@example.com
order_00064,2878.78,2026-08-21,karan.mehta946@example.com
order_00065,10446.27,2026-08-21,aditya.iyer587@example.com
order_00066,2501.83,2026-08-11,priya.mehta62@example.com
order_00067,14795.22,2026-08-16,aarav.singh475@example.com
order_00068,6533.68,2026-08-13,ananya.sharma144@example.com
order_00069,2492.5,2026-08-13,neha.kapoor41@example.com
order_00070,3065.0,2026-08-25,sneha.singh268@example.com
order_00071,7837.4,2026-08-16,isha.rao472@example.com
order_00072,11985.14,2026-08-06,neha.rao676@example.com
order_00073,530.26,2026-08-18,neha.iyer714@example.com
order_00074,10354.41,2026-08-03,vikram.mehta578@example.com
order_00075,2935.51,2026-08-11,neha.kapoor407@example.com
order_00076,6836.62,2026-08-25,vikram.singh505@example.com
order_00077,1229.03,2026-08-14,rohan.nair992@example.com
order_00078,4583.29,2026-08-23,rohan.nair809@example.com
order_00079,1386.29,2026-08-20,vikram.iyer523@example.com
order_00080,8501.5,2026-08-23,isha.gupta69@example.com
order_00081,955.84,2026-08-23,ananya.iyer286@example.com
order_00082,8786.01,2026-08-26,sneha.reddy524@example.com
order_00083,6447.11,2026-08-05,isha.rao172@example.com
order_00084,4675.32,2026-08-02,vikram.singh587@example.com
order_00085,14299.24,2026-08-17,karan.mehta768@example.com
order_00086,10511.14,2026-08-12,isha.sharma128@example.com
order_00087,6785.9,2026-08-01,neha.iyer532@example.com
order_00088,435.52,2026-08-23,neha.rao881@example.com
order_00089,1573.31,2026-08-04,karan.patel247@example.com
order_00090,9678.81,2026-08-03,aditya.mehta631@example.com
order_00091,485.18,2026-08-05,neha.reddy377@example.com
order_00092,4049.21,2026-08-04,priya.mehta690@example.com
order_00093,2935.36,2026-08-26,ananya.mehta355@example.com
order_00094,14278.56,2026-08-01,neha.sharma446@example.com
order_00095,3779.54,2026-08-09,priya.reddy827@example.com
order_00096,12446.88,2026-08-23,rohan.iyer844@example.com
order_00097,10387.39,2026-08-21,rohan.singh287@example.com
order_00098,13285.33,2026-08-02,vikram.reddy27@example.com
